INDEX,FILENAME,SPLIT
0,DS000I6X,validation
1,DS000I6W,validation
2,DS000HXJ,validation
3,DS000B1J,validation
4,DS000B1H,validation
5,DS000OQB,validation
6,DS000HVE,validation
7,C0030734,validation
8,C0032814,validation
9,DS000DBR,validation
10,C0005450,validation
11,DS000HVH,validation
12,C0007240,validation
13,C0014726,validation
14,DS000G5W,validation
15,DS000JHB,validation
16,DS000ASA,validation
17,DS000GWW,validation
18,DS000H9Q,validation
19,DS0000AA,validation
20,DS000VO6,validation
21,DS000HW1,validation
22,C0005110,validation
23,DS000J3M,validation
24,C0010829,validation
25,DS000H9S,validation
26,C0004030,validation
27,C0005052,validation
28,DS000IGL,validation
29,DS000IRD,validation
30,C0010787,validation
31,C0006538,validation
32,DS000W27,validation
33,C0017029,validation
34,C0014500,validation
35,C0024523,validation
36,C0014691,validation
37,DS000GWV,validation
38,C0024415,train
39,C0019840,train
40,DS00008J,train
41,DS000F4K,train
42,DS00091A,train
43,C0004249,train
44,DS000FGE,train
45,C0018299,train
46,C0024340,train
47,C0024407,train
48,C0024341,train
49,C0001883,train
50,DS000I6Z,train
51,C0025305,train
52,DS000STU,train
53,DS000DBO,train
54,C0025307,train
55,C0030694,train
56,C0021833,train
57,C0007333,train
58,C0022011,train
59,C0014475,train
60,C0007155,train
61,C0001274,train
62,C0032817,train
63,DS000DBQ,train
64,C0024250,train
65,C0024411,train
66,C0003222,train
67,DS000FGD,train
68,C0007106,train
69,DS000F4J,train
70,DS000B1I,train
71,C0005454,train
72,DS000DPJ,train
73,C0022966,train
74,C0025303,train
75,C0007245,train
76,C0007102,train
77,DS000V6O,train
78,C0030395,train
79,C0003226,train
80,DS000GH6,train
81,DS000TZ5,train
82,C0008258,train
83,C0014790,train
84,C0030735,train
85,C0014473,train
86,C0018298,train
87,DS000DGS,train
88,C0030737,train
89,DS00091B,train
90,C0022681,train
91,C0007104,train
92,C0012623,train
93,C0007105,train
94,C0024414,train
95,DS00008G,train
96,C0007239,train
97,C0030399,train
98,C0024124,train
99,DS000GF4,train
100,DS000DL5,train
101,C0015828,train
102,DS000EBA,train
103,C0014497,train
104,C0015103,train
105,DS000G5X,train
106,DS000FL6,train
107,C0017030,train
108,DS000HW0,train
109,DS000AHM,train
110,DS000J3P,train
111,C0015142,train
112,DS000TO7,train
113,DS000G5M,train
114,DS000GE1,train
115,DS000HUA,train
116,DS000TOA,train
117,DS000FL4,train
118,DS000AS9,train
119,DS000UN8,train
120,DS000IUD,train
121,DS000ILT,train
122,DS000APS,train
123,DS000DL4,train
124,C0003029,train
125,C0013771,train
126,DS000JHE,train
127,DS000HW2,train
128,C0013225,train
129,C0010281,train
130,C0004031,train
131,C0025323,train
132,DS000FDZ,train
133,DS000C54,train
134,C0015143,train
135,C0003031,train
136,C0005053,train
137,C0009503,train
138,DS000UAR,train
139,DS000EBB,train
140,DS000DL6,train
141,DS000HB0,train
142,DS0000A9,train
143,DS000ILU,train
144,C0005051,train
145,DS0000AC,train
146,C0015140,train
147,C0015830,train
148,C0006536,train
149,C0015024,train
150,C0015450,train
151,DS000RTE,train
152,C0015451,train
153,C0009504,train
154,DS000HK8,train
155,C0015829,train
156,C0006486,train
157,DS000GE3,train
158,DS000JHG,train
159,C0024541,train
160,C0024521,train
161,C0024125,train
162,DS000H9R,train
163,DS0009VI,train
164,C0006483,train
165,C0015453,train
166,C0025727,train
167,DS000AP4,train
168,DS000DL3,train
169,C0025322,train
170,C0014685,train
171,DS000IYU,train
172,C0005050,train
173,DS000IYS,train
174,DS000APR,train
175,C0024086,train
176,C0003030,train
177,DS000UO4,train
178,C0013223,train
179,DS000IYR,train
180,DS000IRE,train
181,C0015104,train
182,DS000UBB,train
183,DS000JHF,train
184,C0012090,train
185,DS000J3N,train
186,DS0000AB,train
187,C0010832,train
188,DS000C53,train
189,C0024088,train
190,C0013222,train
191,DS000AP2,train
192,DS000H04,test
193,DS000FBD,test
194,C0003164,test
195,C0001273,test
196,DS000DBP,test
197,C0014728,test
198,C0007238,test
199,C0019842,test
200,C0024418,test
201,C0019916,test
202,C0024408,test
203,C0007237,test
204,DS000N9X,test
205,DS000STW,test
206,DS000V1R,test
207,DS000V6S,test
208,C0014793,test
209,C0007156,test
210,DS00076I,test
211,DS000VCN,test
212,DS000NA1,test
213,C0030692,test
214,DS000FOK,test
215,DS000FGF,test
216,C0018301,test
217,C0001275,test
218,C0032886,test
219,C0004246,test
220,DS00008I,test
221,DS000HXK,test
222,C0006326,test
223,DS000V1O,test
224,C0032812,test
225,C0021835,test
226,C0014727,test
227,DS000HVG,test
228,DS00076H,test
229,C0001886,test
230,C0003183,test
231,DS000DPL,test
232,C0024252,test
233,C0022963,test
234,C0000886,test
235,C0024245,test
236,DS000FBC,test
237,C0007331,test
238,C0019839,test
239,DS000U30,test
